## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
TPWT1031,Eames Premium Replica Management Office Chair,Office Chair,"Inspired by the popular Eames creation, this replica is made of fine materials to do the original justice. It features fine leather on the front, with a high quality polyurethane to match the leather used on the reverse.",https://img.zcdn.com.au/lf/79/hash/37569/19138832/4/Eames%2BPremium%2BReplica%2BManagement%2BOffice%2BChair.jpg,329,https://www.templeandwebster.com.au/Eames-Premium-Replica-Management-Office-Chair-TPWT1031.html,5,15,,,,,,,,,,,
TPWT2801,Gatsby Velvet Home Office Chair,Office Chair,"Break from convention and make your office feel more inviting to you, starting with this gorgeous chair. This velvet office chair with brass-coloured base injects a glam touch to your serious space, the padding and adjustable seat height provides comfort, and the castors make moving to your filing cabinet a breeze.",https://img.zcdn.com.au/lf/79/hash/38080/19279190/4/Gatsby%2BVelvet%2BHome%2BOffice%2BChair.jpg,279,https://www.templeandwebster.com.au/Gatsby-Velvet-Office-Chair-GPCHAWHV-TPWT2801.html,3,15,,,,,,,,,,,
TMPL1330,Camden Velvet Home Office Chair,Office Chair,"Consider luxurious touches in your office, starting with seating, for a space refresh. This chic, modern-inspired chair is upholstered with velvet, and the brass-coloured metal frame lends minimalist style to the piece. It's complete with castors, and a gas lift for adjustable height for your comfort.",https://img.zcdn.com.au/lf/79/hash/38080/19228894/4/Camden%2BVelvet%2BHome%2BOffice%2BChair.jpg,229,https://www.templeandwebster.com.au/Camden-Velvet-Office-Chair-TMPL1330.html,6,15,,,,,,,,,,,
TPWT2867,Tan Kinsey Faux Leather Office Chair,Office Chair,"With the appearance and feel similar to a genuine leather, faux leather chairs like this Kinsey office chair is the real deal.

Combining functionality, affordability and style, it could be a great option when building your home office.",https://img.zcdn.com.au/lf/79/hash/38080/19229351/4/Tan%2BKinsey%2BFaux%2BLeather%2BOffice%2BChair.jpg,129,https://www.templeandwebster.com.au/Tan-Kinsey-Faux-Leather-Office-Chair-CDKOCTNP-TPWT2867.html,7,15,,,,,,,,,,,
TPWT1286,Eames Premium Replica High Back Soft Pad Management Office Chair,Office Chair,"This fun, modern design is a popular Eames creation. The replica is made of fine materials to do the original justice. The thick cushions offer comfortable support so you can linger awhile at the office.",https://img.zcdn.com.au/lf/79/hash/37569/19289334/4/Eames%2BPremium%2BReplica%2BHigh%2BBack%2BSoft%2BPad%2BManagement%2BOffice%2BChair.jpg,399,https://www.templeandwebster.com.au/Eames-Premium-Replica-High-Back-Soft-Pad-Management-Office-Chair-TPWT1286.html,8,15,,,,,,,,,,,
